Long,Lat,FID,EVENTSTA,eventend,SIMULATI,SIMULAT1,UNIQUEAS,assetid,NETWORKM,ASSETNAM,TREATMEN,ESTIMATE,OSISERVI,STRUCTUR,INTERIOR,SERVICES,OSI,SUBSTRUC,SUPESTRU,ROOFCOND,FITTINGS,FLOORCON,HYDRAULI,MECHANIC,FIRECOND,ELECTRIC,SECURITY,SITESERV,EXTERNAL
116.009940695805,-32.0024913168358,"113","1577836800000","1609372800000","0","2020",BD_5039-00,BD_5039-00,"303249",BD_5039-00 - HOUSE - 21 Lewis Road - Residence, ,0,0,4,4,4,4,3,5,5,5,3,4,3,5,3,3,3,5
116.046426238554,-32.0028541571886,"114","1577836800000","1609372800000","0","2020",BD_5085-01,BD_5085-01,"9001",BD_5085-01 - Ray Owen Pavilion - storage shed - Next to cricket practice net, ,0,0,3,3,3,3,4,2,4,3,2,3,3,4,3,3,3,3
116.056834443065,-31.976691351489,"115","1577836800000","1609372800000","0","2020",BD_5053-00,BD_5053-00,"2807707",BD_5053-00 - Kalamunda Performing Arts - (Kalamunda Peforming Arts Centre), ,0,0,4,5,5,4,5,3,4,5,5,5,4,4,5,4,5,4
116.057221513403,-31.9736341309498,"116","1577836800000","1609372800000","0","2020",BD_5042-00,BD_5042-00,"2507677",BD_5042-00 - Jack Healey Centre - Jack Healey Centre, ,0,0,3,3,3,3,3,3,4,2,4,2,2,3,3,2,3,4
115.996293325295,-31.9946560606188,"117","1577836800000","1609372800000","0","2020",BD_5087-00,BD_5087-00,"425247",BD_5087-00 - Reid Oval Change rooms - (Reid Oval - Changerooms & Toilets), ,0,0,3,3,3,3,3,3,3,2,4,4,3,3,2,3,4,4
116.059370686653,-31.9697461119212,"118","1577836800000","1609372800000","0","2020",BD_5037-06,BD_5037-06,"185074",BD_5037-06 - History Village - Chambers House, ,0,0,5,6,6,5,5,6,5,6,6,5,6,6,5,5,6,6
116.016762408025,-31.9863730710727,"119","1577836800000","1609372800000","0","2020",BD_5079-01,BD_5079-01,"13001",BD_5079-01 - Peter Anderton Centre (HACC) - Store Shed, ,0,0,3,2,2,3,3,3,3,2,2,3,3,1,1,3,1,2
116.000707242627,-31.9924835630505,"120","1577836800000","1609372800000","0","2020",BD_5072-00,BD_5072-00,"383135","BD_5072-00 - Morrison Oval - (Cricket Club Pavillion, level 1)", ,0,0,2,3,3,3,2,2,3,4,2,3,2,3,3,2,3,3
116.028313685234,-31.9467982252816,"121","1577836800000","1609372800000","0","2020",BD_5046-00,BD_5046-00,"368830",BD_5046-00 - Kalamunda Archery Club - Clubrooms, ,0,0,3,3,3,3,2,3,3,4,2,2,4,2,4,4,3,2
116.061538150001,-31.9785835735036,"122","1577836800000","1609372800000","0","2020",BD_5056-02,BD_5056-02,"81044",BD_5056-02 - Kalamunda Wet N Wild - Main Pool - Plant Room, ,0,0,4,4,4,4,3,3,5,4,3,4,3,5,4,3,4,3
